7zip 25.01-1
abseil-cpp 20250814.1-1
accountsservice 23.13.9-2
acl 2.3.2-1
adwaita-cursors 49.0-1
adwaita-fonts 49.0-2
adwaita-icon-theme 49.0-1
adwaita-icon-theme-legacy 46.2-3
alsa-card-profiles 1:1.4.8-2
alsa-firmware 1.2.4-4
alsa-lib 1.2.14-1
alsa-plugins 1:1.2.12-5
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.14-2
amd-ucode 20250917-1
aom 3.13.1-1
appstream 1.1.1-1
appstream-qt 1.1.1-1
archlinux-keyring 20250929-1
ark 25.08.1-1
at-spi2-core 2.58.0-1
attica 6.18.0-1
attr 2.5.2-1
audit 4.0.5-1
aurorae 6.4.5-1
autoconf 2.72-1
automake 1.18.1-1
avahi 1:0.9rc2-1
b43-fwcutter 019-6
baloo 6.18.0-1
baloo-widgets 25.08.1-1
base 3-2
base-devel 1-2
bash 5.3.3-2
bash-completion 2.16.0-1
bind 9.20.13-1
binutils 2.45+r29+g2b2e51a31ec7-1
bison 3.8.2-8
blas 3.12.1-2
bluez-libs 5.84-1
breeze 6.4.5-1
breeze-gtk 6.4.5-1
breeze-icons 6.18.0-1
bridge-utils 1.7.1-2
brotli 1.1.0-3
btrfs-progs 6.17-1
bubblewrap 0.11.0-1
bzip2 1.0.8-6
c-ares 1.34.5-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.117-1
ca-certificates-utils 20240618-1
cabextract 1.11-2
cairo 1.18.4-1
cblas 3.12.1-2
chaotic-keyring 20250614-1
chaotic-mirrorlist 20240724-3
cifs-utils 7.4-1
convertlit 1.8-13
coreutils 9.8-2
cpio 2.15-3
cryptsetup 2.8.1-1
curl 8.16.0-1
curlftpfs 0.9.2-10
dav1d 1.5.1-1
db5.3 5.3.28-5
dbus 1.16.2-1
dbus-broker 37-2
dbus-broker-units 37-2
dbus-units 37-2
dconf 0.49.0-1
ddcutil 2.2.1-1
debugedit 5.2-1
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.35-1
dialog 1:1.3_20250116-1
diffutils 3.12-2
ding-libs 0.6.2-2
dkms 3.2.2-1
dmidecode 3.6-1
dmraid 1.0.0.rc16.3-15
dnssec-anchors 20250524-1
dolphin 25.08.1-1
dosfstools 4.2-5
double-conversion 3.3.1-1
dracut 108-1
duktape 2.7.0-7
e2fsprogs 1.47.3-1
ebook-tools 0.2.2-9
ecryptfs-utils 111-9
editorconfig-core-c 0.12.10-1
efibootmgr 18-3
efivar 39-1
eigen 5.0.0-3
enchant 2.8.12-1
ethtool 1:6.15-1
exfatprogs 1.2.9-1
exiv2 0.28.7-1
expat 2.7.3-1
expect 5.45.4-5
f2fs-tools 1.16.0-3
fakeroot 1.37.1.2-1
fastfetch 2.53.0-1
fatresize 1.1.0-2
ffmpeg 2:8.0-2
fftw 3.3.10-7
file 5.46-5
filesystem 2025.05.03-1
findutils 4.10.0-3
flac 1.5.0-1
flex 2.6.4-5
fmt 11.2.0-1
fontconfig 2:2.17.1-1
frameworkintegration 6.18.0-2
freetype2 2.14.1-1
fribidi 1.0.16-2
fscrypt 0.3.5-1
fuse-common 3.17.1-1
fuse2 2.9.9-5
fuse3 3.17.1-1
garuda-dracut-support 1.6.0-1
garuda-hardware-profile-standard 1.1.2-2
garuda-hardware-tool 1.0.4-1
garuda-hooks 2.15.1-1
garuda-hotfixes 1.1.2-1
garuda-libs 1.7.1-1
gawk 5.3.2-1
gc 8.2.8-2
gcc 15.2.1+r22+gc4e96a094636-1
gcc-libs 15.2.1+r22+gc4e96a094636-1
gd 2.3.3-9
gdbm 1.26-1
gdk-pixbuf2 2.44.3-1
gettext 0.26-1
gflags 2.2.2-5
ghostscript 10.06.0-1
giflib 5.2.2-2
git 2.51.0-1
glib-networking 1:2.80.1-1
glib2 2.86.0-2
glibc 2.42+r17+gd7274d718e6f-1
glslang 1:1.4.321.0-1
glycin 2.0.2-2
gmp 6.3.0-2
gnome-desktop 1:44.4-1
gnome-desktop-common 1:44.4-1
gnulib-l10n 20241231-1
gnupg 2.4.8-1
gnutls 3.8.10-1
gobject-introspection-runtime 1.86.0-1
google-glog 0.7.1-1
gperftools 2.17.2-1
gpgme 2.0.1-1
gpgmepp 2.0.0-2
gpm 1.20.7.r38.ge82d1a6-6
graphene 1.10.8-2
graphite 1:1.3.14-5
graphviz 14.0.1-1
grep 3.12-2
groff 1.23.0-7
grub 2:2.12.r359.g19c698d12-1.1
grub-btrfs 4.13-2.1
grub-garuda 2.06-2
gsettings-desktop-schemas 49.0-1
gsettings-system-schemas 49.0-1
gsfonts 20200910-6
gsm 1.0.22-2
gssdp 1.6.4-1
gssproxy 0.9.2-2
gst-plugins-bad-libs 1.26.6-3
gst-plugins-base-libs 1.26.6-3
gstreamer 1.26.6-3
gtest 1.17.0-1
gtk-update-icon-cache 1:4.20.2-3
gtk3 1:3.24.51-1
gtk4 1:4.20.2-3
gts 0.7.6.121130-5
guile 3.0.10-1
gupnp 1:1.6.9-1
gupnp-igd 1.6.0-2
gzip 1.14-2
harfbuzz 12.1.0-1
harfbuzz-icu 12.1.0-1
hdf5 1.14.6-5
hdparm 9.65-3
hicolor-icon-theme 0.18-1
hidapi 0.15.0-1
highway 1.3.0-1
htop 3.4.1-1
hunspell 1.7.2-2
hwdata 0.400-1
hwloc 2.12.2-1
hyphen 2.8.8-6
i2c-tools 4.4-2
iana-etc 20250612-1
icu 76.1-1
ijs 0.35-6
inetutils 2.6-1
intel-gmmlib 22.8.1-1
intel-media-driver 25.3.4-1
intel-oneapi-common 2024.1.0-1
intel-oneapi-compiler-shared-runtime-libs 2025.0.4-2
intel-oneapi-mkl 2025.0.1-3
intel-oneapi-openmp 2025.0.4-1
intel-oneapi-tbb 2021.12.0-2
intel-oneapi-tcm 1.2.0-3
intel-ucode 20250812-1
inxi 3.3.39.1-1
iproute2 6.17.0-1
iptables-nft 1:1.8.11-2
iputils 20250605-1
iso-codes 4.18.0-1
iw 6.17-1
jack2 1.9.22-1
jansson 2.14.1-1
jbig2dec 0.20-1
jbigkit 2.1-8
jemalloc 1:5.3.0-5
jfsutils 1.1.15-9
json-c 0.18-2
json-glib 1.10.8-1
kactivitymanagerd 6.4.5-1
karchive 6.18.0-1
kate 25.08.1-1
kauth 6.18.0-1
